"Source:","/home/jmux/Github/spotify-iot-led-driver/iot_leddriver_hw/iot_led_strip_pcb.kicad_sch"
"Date:","Sun 15 Oct 2023 07:37:33 PM PDT"
"Tool:","Eeschema 7.0.7-2.fc37"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Description","LCSC","Sim.Device","Sim.Params","Sim.Pins","Sim.Type","Vendor"
"1","5","C1, C2, C3, C5, C13","10uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","16V 10uF 0805 Ceramic Capacitor SMD","C15850","","","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM21BR61C106KE15L_C77075.html"
"2","5","C4, C6, C7, C12, C14","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","100nF 50V X7R ±10% 0805 Ceramic Cap SMD","C49678","","","","","https://jlcpcb.com/partdetail/Yageo-CC0805KRX7R9BB104/C49678"
"3","2","C10, C11","22pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","22pF 50V ±5% 0805 Multilayer Ceramic Capacitors","C1804","","","","","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0805CG220J500NT_C24658.html"
"4","2","D1, D2","SMF5V0A","Diode:SMF5V0A","Diode_SMD:D_SMF","https://www.vishay.com/doc?85881","","9.2V 6.4V 5V SMF TVS ","C1972946","","","","",""
"5","1","D3","1N5819WS","Device:D_Schottky","Diode_SMD:D_SOD-323_HandSoldering","~","","40V 600mV@1A 1A SOD-323 Schottky Barrier Diode","C191023","","","","",""
"6","1","D4","STAT","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","Blue (red linked) 0805 Light Emitting Diode","C84256","","","","","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"7","1","D5","PWR","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","Red 0805 Light Emitting Diode","C84256","","","","","https://www.lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD1206B1_C130717.html"
"8","1","J3","GT-USB-7010ASV","gt-usb_lib:GT-USB-7010ASV","footprint:USB-C-SMD_G-SWITCH_GT-USB-7010ASV","https://atta.szlcsc.com/upload/public/pdf/source/20220407/8043DBBC37E1BDE9D4FD36EE7A4A9BB9.pdf","","","C2988369","","","","","https://www.lcsc.com/product-detail/USB-Connectors_G-Switch-GT-USB-7010ASV_C2988369.html"
"9","1","J4","Barrel_Jack_Switch_Pin3Ring","Connector:Barrel_Jack_Switch_Pin3Ring","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","","","","V","dc=5","1=+ 2=-","DC",""
"10","1","MK1","SPH0641LU4H-1","Sensor_Audio:SPH0641LU4H-1","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","https://www.knowles.com/docs/default-source/model-downloads/sph0641lu4h-1-revb.pdf","","MEMS Microphone. COVER HOLE DURING ASSEMBLY!!!","","","","","",""
